iter	Logloss
0	0.6804891727
1	0.6684498739
2	0.6570287685
3	0.6461647828
4	0.6358488617
5	0.6259714247
6	0.6167413516
7	0.6079644138
8	0.5996088027
9	0.591709539
10	0.5842812666
11	0.5772633068
12	0.5702959476
13	0.5639077554
14	0.5578582771
15	0.5520496587
16	0.5465855565
17	0.5413065382
18	0.5361393311
19	0.5312536111
20	0.5267970703
21	0.5226242753
22	0.5185461811
23	0.5147579786
24	0.5111143885
25	0.5076049519
26	0.5043457259
27	0.5011192868
28	0.4981829255
29	0.495264733
30	0.4926093564
31	0.4900747058
32	0.4876016401
33	0.4852352401
34	0.4829718477
35	0.4809129883
36	0.4787612619
37	0.4767913177
38	0.4749718011
39	0.4732618021
40	0.4715248975
41	0.469989105
42	0.468498842
43	0.4669818062
44	0.4656698936
45	0.4642347995
46	0.4629935094
47	0.4617178449
48	0.4605685119
49	0.459538852
50	0.4583951022
51	0.4575572582
52	0.4566478764
53	0.4557593476
54	0.4549195783
55	0.4540477419
56	0.4530427397
57	0.4522532563
58	0.4513747065
59	0.4505870841
60	0.4498558655
61	0.4490869131
62	0.4483286427
63	0.4477433776
64	0.4471577448
65	0.4465201917
66	0.445987664
67	0.4454208525
68	0.4448774782
69	0.4443377121
70	0.4438653289
71	0.443336821
72	0.4426895343
73	0.4423026938
74	0.4418992064
75	0.4413393479
76	0.440770876
77	0.4404092606
78	0.4400415176
79	0.4396018478
80	0.4392517874
81	0.4388301397
82	0.4384688889
83	0.4381243355
84	0.4376566131
85	0.4372587048
86	0.4369808926
87	0.4367105642
88	0.4363587268
89	0.4360771058
90	0.4357060835
91	0.4352517826
92	0.4349931975
93	0.4346730043
94	0.4343526645
95	0.4341356644
96	0.4338752391
97	0.4336015696
98	0.4333367159
99	0.4331191899
100	0.4328302163
101	0.432478706
102	0.4322965805
103	0.431944818
104	0.4316634683
105	0.4315083521
106	0.4313009294
107	0.4309539709
108	0.4306826007
109	0.4304203335
110	0.4302126495
111	0.4300198915
112	0.4297172244
113	0.4294840125
114	0.4292901708
115	0.4290596967
116	0.428801494
117	0.4286333263
118	0.4284151742
119	0.4282006248
120	0.4279951353
121	0.4277897379
122	0.4275640873
123	0.4273650564
124	0.4271716494
125	0.4270623237
126	0.426721319
127	0.426405837
128	0.4262271875
129	0.426029563
130	0.4258257189
131	0.4255992752
132	0.4253723055
133	0.4252110744
134	0.425042322
135	0.4248555549
136	0.4244927509
137	0.4242308
138	0.4238594643
139	0.4236678036
140	0.4234348345
141	0.4233268073
142	0.4230104256
143	0.4227342101
144	0.4225691112
145	0.4224427504
146	0.422155862
147	0.4218772942
148	0.4217627193
149	0.4215217068
150	0.4213697724
151	0.4212332711
152	0.4209928746
153	0.4209158307
154	0.4206806646
155	0.4203973716
156	0.42022477
157	0.420046986
158	0.4197629854
159	0.4195796872
160	0.4193820131
161	0.4190861258
162	0.4188844971
163	0.4186718874
164	0.4183655302
165	0.4181762018
166	0.4179356029
167	0.4176699439
168	0.4174417941
169	0.4172882565
170	0.4170052273
171	0.4167965385
172	0.4166105285
173	0.4163984816
174	0.4161705656
175	0.4160543293
176	0.4158152263
177	0.4156319565
178	0.4155401852
179	0.4153834794
180	0.4151278534
181	0.4149760054
182	0.4147250345
183	0.4145518593
184	0.4143650096
185	0.4140684411
186	0.4138381109
187	0.413529287
188	0.4133155351
189	0.4130772671
190	0.4128789194
191	0.4127384405
192	0.4125920541
193	0.4124840052
194	0.4124147323
195	0.4123364487
196	0.4120605949
197	0.411874312
198	0.4115849012
199	0.4115122512
200	0.411350253
201	0.4110781877
202	0.410870007
203	0.4106925798
204	0.4106398928
205	0.4104218726
206	0.4102662238
207	0.4101107765
208	0.4099763955
209	0.4098687198
210	0.409750441
211	0.4096223486
212	0.4094890827
213	0.4092980758
214	0.4090746376
215	0.4089386272
216	0.4087716704
217	0.4085366106
218	0.4083082333
219	0.4080573735
220	0.4079217451
221	0.4076164185
222	0.4074009846
223	0.4072482822
224	0.4070531702
225	0.4069501624
226	0.406741727
227	0.4064165939
228	0.4061691392
229	0.4059504113
230	0.405674718
231	0.4055651044
232	0.4054391287
233	0.4052058531
234	0.4050154695
235	0.4048208906
236	0.4046744382
237	0.4044121547
238	0.404152148
239	0.4040078129
240	0.4037798834
241	0.4036147787
242	0.4034473959
243	0.403212408
244	0.4030624997
245	0.4029448144
