,0,1,2,3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,0,1,2,3,4,5,6,7,8,9,10,11
8662,2.1603132451295259386,1.2153731035385193504,1.7170657416310652899,1.3501176465749478162,5,10,5,10,5,10,5,10,5,10,5,10,5,10,4,4,5,10,5,10,5,10,4,4,5,10,5,10,5,10,4,4,5,10,5,10,5,10,5,10,5,10,4,9,0,0,0,0,5,10,4,9,0,1,0,0,5,10,4,9,0,0,0,0,-30.425444366065346,-32.315168004225725,-40.545404006928905,-168.08457761821992,-208.60709216358347,-193.68940661884568,-27.189031859345075,-44.67202713964752,-291.28442716521596,-160.74674645199235,-1277.7152800233998,-571.8689146904186
2504,2.4620987470582367251,1.1530695450533154922,1.9247250164316405119,1.1065681199952155378,5,10,5,10,4,9,4,9,5,10,4,9,4,7,4,7,5,10,4,9,4,7,4,7,5,10,4,9,4,7,4,7,5,10,4,9,4,9,4,9,4,9,4,9,2,7,1,6,4,9,4,9,2,7,1,6,4,9,4,9,2,7,1,6,-157.59254455442945,-181.67788999974925,-177.18967990876314,-158.37516148566365,-173.67658565705742,-173.88291207105416,-114.93996363990854,-180.31532830729302,-355.6108768465366,-92.77923850434699,-130.0695547646905,-210.42650915116417
2505,3.036496699489391382,1.157376884324790911,1.9247250164316405119,1.1065681199952155378,5,10,5,8,5,8,5,7,5,10,5,9,5,8,5,8,5,10,5,8,5,8,5,8,5,10,5,9,5,8,5,8,5,10,4,9,4,9,4,9,4,9,4,9,2,7,1,6,4,9,4,9,2,7,1,6,4,9,4,9,2,7,1,6,-87.11463979819219,-98.23640551307155,-96.47392779557285,-158.37516148566365,-173.67658565705742,-173.88291207105416,-66.82736097692236,-217.45183294355655,-275.3129469724359,-92.77923850434699,-130.0695547646905,-210.42650915116417
2104,4.3667891886372154353,0.8555740469783948976,3.1459488269866602295,1.1425026076463460356,4,9,4,9,4,9,4,9,5,10,5,10,5,10,2,2,5,10,5,10,5,7,2,2,5,10,5,10,5,10,5,7,5,10,5,10,4,9,2,7,5,10,5,10,5,10,4,9,5,10,5,10,5,10,4,9,5,10,5,10,5,10,4,9,-90.9765594543394,-108.97533735018546,-102.36899778716246,-207.09561439039243,-275.3511548915031,-235.87907549382524,-44.80728118184122,-192.13966092284824,-224.8659359456393,-180.1945373618938,-1156.6198816960057,-936.0881679680583
2103,3.4426108359992619867,1.4428649705604845721,3.1459488269866602295,1.1425026076463460356,5,10,5,9,4,7,4,7,5,10,5,9,5,7,4,6,5,10,5,9,5,7,4,6,5,10,5,10,5,7,4,6,5,10,5,10,4,9,2,7,5,10,5,10,5,10,4,9,5,10,5,10,5,10,4,9,5,10,5,10,5,10,4,9,-61.790512074316396,-70.72230793116069,-73.02753157126466,-207.09561439039243,-275.3511548915031,-235.87907549382524,-56.00568528452723,-240.39043514101007,-532.6247646956555,-180.1945373618938,-1156.6198816960057,-936.0881679680583
1851,3.6386781484429113753,1.0969876159884295319,3.4398230201297521624,1.1778451833529512971,5,10,5,10,5,6,3,4,5,10,5,6,5,6,5,6,5,9,5,6,5,6,5,6,5,10,5,7,5,6,5,6,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,-188.74822691684344,-216.17523082883622,-211.84145729432532,-81.97892806848108,-176.73429940427766,-92.63308561963741,-141.2170939192068,-405.97751024532045,-643.0511900540012,-65.16444545667058,-274.76364165275,-258.88485039821825
4266,3.1979084511054542972,1.2746981230593372736,2.9709675504789605505,1.1593474307207725094,5,10,3,8,2,7,2,7,5,10,5,10,2,7,2,5,5,10,5,10,2,7,2,4,5,10,5,10,2,7,2,7,5,10,5,10,4,8,2,6,5,10,5,10,5,10,4,8,5,10,5,10,4,9,2,6,5,10,5,10,5,10,4,8,-132.4479331335087,-170.51687463293453,-149.29047505306232,-50.64160263363753,-53.964305013555844,-61.638072145648586,-120.00149803662087,-778.2309308673186,-743.0150714560009,-46.34922253186705,-266.07525535439135,-259.2204326351328
7039,2.4334457338940280735,0.7097027654781525863,3.5764815262926523687,1.0296058710041584572,5,6,5,6,5,6,3,4,5,6,5,6,5,6,3,4,5,6,5,6,5,6,3,4,5,6,5,6,5,6,3,4,5,10,4,9,4,9,4,8,5,10,5,10,2,5,1,3,5,10,5,10,2,5,1,2,5,10,5,10,5,9,1,4,-11.916957533817733,-94.52594754379425,-13.015975838002712,-90.07951835180293,-111.49819227161527,-96.20589177877346,-10.370377511440282,-70.51761697217462,-62.05144334999937,-65.34164649994753,-161.14551724974638,-179.15998144160676
3574,3.2337085281817721238,0.9618939843088638586,3.3490121002045145637,1.03172817741712608,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,4,9,3,7,3,7,5,10,4,9,4,9,4,9,5,10,4,9,4,9,4,9,5,10,4,9,4,9,4,9,-317.85255378369294,-490.6868892590644,-368.7329454965817,-47.5699947165365,-74.81001560602472,-48.991268841160284,-273.4051551176842,-1665.3155120164745,-1541.0521952938514,-34.32643350641205,-39.78328573694478,-165.70268772557375
